0.500, 1.2870
0.502, 0.7415
0.504, 0.5774
0.506, 0.4785
0.508, 0.4113
0.510, 0.3667
0.512, 0.3244
0.514, 0.2877
0.516, 0.2687
0.518, 0.2356
0.520, 0.2913
0.522, 0.2071
0.524, 0.2040
0.526, 0.1835
0.528, 0.1593
0.530, 0.1591
0.532, 0.1373
0.534, 0.1372
0.536, 0.1216
0.538, 0.1460
0.540, 0.1292
0.542, 0.0983
0.544, 0.1050
0.546, 0.1366
0.548, 0.0795
0.550, 0.1769
0.552, 0.0785
0.554, 0.0944
0.556, 0.1709
0.558, 0.0702
0.560, 0.1308
0.562, 0.0677
0.564, 0.0552
0.566, 0.0594
0.568, 0.0717
0.570, 0.1290
0.572, 0.2044
0.574, 0.0779
0.576, 0.0534
0.578, 0.0386
0.580, 0.0598
0.582, 0.0421
0.584, 0.0698
0.586, 0.0384
0.588, 0.0706
0.590, 0.0474
0.592, 0.0540
0.594, 0.0688
0.596, 0.1000
0.598, 0.1732
0.600, 0.6228
0.602, 0.1720
0.604, 0.0977
0.606, 0.0820
0.608, 0.0497
0.610, 0.0421
0.612, 0.0310
0.614, 0.0359
0.616, 0.0552
0.618, 0.0236
0.620, 0.0509
0.622, 0.0380
0.624, 0.1050
0.626, 0.1020
0.628, 0.0451
0.630, 0.0385
0.632, 0.0438
0.634, 0.0358
0.636, 0.1135
0.638, 0.0496
0.640, 0.1189
0.642, 0.0616
0.644, 0.0620
0.646, 0.0643
0.648, 0.0790
0.650, 0.1892
0.652, 0.1177
0.654, 0.1311
0.656, 0.1468
0.658, 0.1770
0.660, 0.2406
0.662, 0.2806
0.664, 0.3891
0.666, 0.6740
0.668, 0.5271
0.670, 0.3484
0.672, 0.2580
0.674, 0.2018
0.676, 0.1617
0.678, 0.1376
0.680, 0.1874
0.682, 0.1141
0.684, 0.1086
0.686, 0.0694
0.688, 0.0809
0.690, 0.0609
0.692, 0.1049
0.694, 0.0436
0.696, 0.0471
0.698, 0.0445
0.700, 0.3102
0.702, 0.0392
0.704, 0.0332
0.706, 0.0865
0.708, 0.0317
0.710, 0.0435
0.712, 0.0709
0.714, 0.2578
0.716, 0.0858
0.718, 0.0517
0.720, 0.1005
0.722, 0.0505
0.724, 0.0301
0.726, 0.0398
0.728, 0.0658
0.730, 0.0319
0.732, 0.0284
0.734, 0.0448
0.736, 0.0434
0.738, 0.0512
0.740, 0.0871
0.742, 0.1024
0.744, 0.1164
0.746, 0.1667
0.748, 0.2644
0.750, 0.7710
0.752, 0.2685
0.754, 0.1625
0.756, 0.1167
0.758, 0.0820
0.760, 0.1378
0.762, 0.0908
0.764, 0.0445
0.766, 0.0396
0.768, 0.0379
0.770, 0.0494
0.772, 0.0218
0.774, 0.0250
0.776, 0.0456
0.778, 0.1832
0.780, 0.0574
0.782, 0.0179
0.784, 0.0221
0.786, 0.0684
0.788, 0.0289
0.790, 0.0406
0.792, 0.0465
0.794, 0.0619
0.796, 0.0911
0.798, 0.1637
0.800, 0.6128
