0, 1, 0, 0, 0.00
1, 2, 114, 114, 114.00
2, 3, 71, 114, 92.50
3, 4, 43, 71, 61.67
4, 5, 43, 71, 57.25
5, 6, 27, 71, 45.80
6, 7, 27, 44, 38.17
7, 8, 27, 44, 36.57
8, 9, 16, 44, 32.00
9, 10, 16, 44, 28.44
10, 11, 16, 44, 25.60
11, 12, 16, 28, 23.27
12, 13, 16, 28, 22.75
13, 14, 11, 28, 21.00
14, 15, 10, 28, 19.50
15, 16, 10, 28, 18.20
16, 17, 10, 28, 17.06
17, 18, 10, 28, 16.06
18, 19, 10, 27, 15.17
19, 20, 10, 17, 14.37
20, 21, 10, 17, 14.20
21, 22, 6, 17, 13.52
22, 23, 6, 17, 12.91
23, 24, 6, 17, 12.35
24, 25, 6, 17, 11.83
25, 26, 6, 17, 11.36
26, 27, 6, 17, 10.92
27, 28, 6, 17, 10.52
28, 29, 6, 17, 10.14
29, 30, 6, 17, 9.79
30, 31, 6, 17, 9.47
31, 32, 6, 17, 9.16
32, 33, 6, 11, 8.88
33, 34, 6, 11, 8.79
34, 35, 4, 11, 8.53
35, 36, 4, 11, 8.29
36, 37, 4, 11, 8.06
37, 38, 4, 11, 7.84
38, 39, 4, 11, 7.63
39, 40, 4, 11, 7.44
40, 41, 4, 11, 7.25
41, 42, 4, 11, 7.07
42, 43, 4, 11, 6.90
43, 44, 4, 11, 6.74
44, 45, 3, 11, 6.59
45, 46, 3, 11, 6.44
46, 47, 3, 11, 6.30
47, 48, 3, 11, 6.17
48, 49, 3, 11, 6.04
49, 50, 3, 11, 5.92
50, 51, 3, 11, 5.80
51, 52, 3, 11, 5.69
52, 53, 3, 11, 5.58
53, 54, 3, 7, 5.47
54, 55, 3, 7, 5.44
55, 56, 2, 7, 5.35
56, 57, 2, 7, 5.25
57, 58, 2, 7, 5.16
58, 59, 2, 7, 5.07
59, 60, 2, 7, 4.98
60, 61, 2, 7, 4.90
61, 62, 2, 7, 4.82
62, 63, 2, 7, 4.74
63, 64, 2, 7, 4.67
64, 65, 2, 7, 4.59
65, 66, 2, 7, 4.52
66, 67, 2, 7, 4.45
67, 68, 2, 7, 4.39
68, 69, 2, 7, 4.32
69, 70, 2, 7, 4.26
70, 71, 2, 7, 4.20
71, 72, 2, 7, 4.14
72, 73, 2, 7, 4.08
73, 74, 2, 7, 4.03
74, 75, 2, 7, 3.97
75, 76, 2, 7, 3.92
76, 77, 2, 7, 3.87
77, 78, 2, 7, 3.82
78, 79, 2, 7, 3.77
79, 80, 2, 7, 3.72
80, 81, 2, 7, 3.67
81, 82, 2, 7, 3.63
82, 83, 2, 7, 3.59
83, 84, 2, 7, 3.54
84, 85, 2, 7, 3.50
85, 86, 2, 7, 3.46
86, 87, 2, 7, 3.42
87, 88, 2, 4, 3.38
88, 89, 2, 4, 3.36
89, 90, 2, 4, 3.33
90, 91, 1, 4, 3.29
91, 92, 1, 4, 3.25
92, 93, 1, 4, 3.22
93, 94, 1, 4, 3.18
94, 95, 1, 4, 3.15
95, 96, 1, 4, 3.12
96, 97, 1, 4, 3.08
97, 98, 1, 4, 3.05
98, 99, 1, 4, 3.02
99, 100, 1, 4, 2.99
