100.0, 26568.29
100.5, 10888.04
101.0, 11024.94
101.5, 12943.66
102.0, 18098.32
102.5, 25510.15
103.0, 38241.48
103.5, 19653.05
104.0, 17270.83
104.5, 14914.65
105.0, 20962.51
105.5, 10345.63
106.0, 13046.74
106.5, 9852.06
107.0, 11560.41
107.5, 13366.47
108.0, 46890.13
108.5, 13990.50
109.0, 11173.06
109.5, 13143.42
110.0, 16929.04
110.5, 14499.53
111.0, 16052.43
111.5, 12808.37
112.0, 17206.51
112.5, 33162.60
113.0, 14776.01
113.5, 16653.60
114.0, 19579.06
114.5, 22341.29
115.0, 21900.60
115.5, 22355.09
116.0, 25752.47
116.5, 29142.93
117.0, 36230.15
117.5, 36543.08
118.0, 42705.64
118.5, 51444.99
119.0, 64964.90
119.5, 90438.08
120.0, 181325.46
120.5, 90318.92
121.0, 64728.28
121.5, 52457.88
122.0, 42239.10
122.5, 35964.06
123.0, 31257.99
123.5, 27055.79
124.0, 24845.78
124.5, 21552.87
125.0, 20783.46
125.5, 17274.68
126.0, 29593.03
126.5, 16911.34
127.0, 19554.01
127.5, 15775.01
128.0, 15495.15
128.5, 19633.56
129.0, 11087.97
129.5, 10094.34
130.0, 14851.36
130.5, 12629.46
131.0, 21736.77
131.5, 9000.18
132.0, 15015.77
132.5, 9146.03
133.0, 7127.93
133.5, 7484.40
134.0, 9234.32
134.5, 13967.48
135.0, 55715.30
135.5, 13315.52
136.0, 12345.70
136.5, 7965.28
137.0, 6864.07
137.5, 6093.73
138.0, 9089.08
138.5, 21670.36
139.0, 6537.66
139.5, 7660.75
140.0, 22981.05
140.5, 9489.48
141.0, 9557.01
141.5, 10573.83
142.0, 12002.57
142.5, 18857.73
143.0, 21287.95
143.5, 33653.31
144.0, 97065.47
144.5, 33613.85
145.0, 23017.48
145.5, 15782.88
146.0, 12601.14
146.5, 10072.91
147.0, 9236.95
147.5, 8197.57
148.0, 9234.38
148.5, 8886.93
149.0, 8782.98
149.5, 7600.72
150.0, 35137.33
